Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
53,Black Dam and Crabtree Work Party – Natural Basingstoke,https://naturalbasingstoke.org.uk/events/black-dam-and-crabtree-work-party-2024-02-17/,https://clickergames.top/,Clicker Games,14842,12549,false,false,false,true,false,false,false,false,2025-07-12,2025-08-06,false,false
6,HELOC vs Cash-Out Refi Guide - HELOC Calculator,https://www.heloccalc.com/learn/heloc-vs-cash-out-refinance,https://clickergames.top/,Games,4,7,false,false,false,true,false,false,false,true,2025-10-03,2025-11-01,false,false
0,Clicker Games - A curated collection of fun and addictive clicker games online.,http://www.ruisou121.com/Main/siteInfo/?siteId=619,https://clickergames.top/,直接访问,13,45,false,false,false,true,false,false,false,false,2025-07-30,2025-11-09,false,false
0,High-quality backlink service 2025/06/25/266 | 8coint.com,https://8coint.com/list.php?part=2025%2F06%2F25%2F266,https://clickergames.top/,clickergames.top,2076,213,true,false,false,false,false,false,true,false,2025-08-06,2025-11-07,false,false
0,❤️ URL Shared ❤️,https://anchorurl.cloud/share/3938580,https://clickergames.top/,clickergames.top,100,11,true,false,false,true,false,false,false,false,2025-11-02,2025-11-02,true,false
0,2025-06-24 Newly Registered Domains Page 10,https://newlyregddomains.com/2025-06-24/10,http://clickergames.top/,clickergames.top,990,22,true,false,false,true,false,false,false,false,2025-07-11,2025-10-05,false,false
0,Google Ranking Booster: Manual Work: Ahrefs DR + MOZ DA+Pbn Backlinks Visit SeoBoost.agency – rankongoogle.agency,https://rankongoogle.agency/vsqzwva-google-ranking-lift-traffic-with-contextual-seo-backlinks/,https://clickergames.top/,fast indexing whitehat traffic clickergames.top Google ranking upto 6x | Seoboost.agency World no 1 Seo Agency,8001,17,true,false,false,true,false,false,false,false,2025-10-25,2025-11-03,true,false
0,"Professional SEO Services: Boost Domain Rating with High-Quality, DoFollow & Permanent Backlinks – My Blog",https://seoprobox.xyz/seo-services-increase-dr-permanent-dofollow-backlinks-213/,https://clickergames.top/,"Rank Fast, Rank Smart – DR/DA Backlink Boost for clickergames.top",3501,21,true,false,false,true,false,false,false,false,2025-07-05,2025-07-13,false,false
0,High-quality backlink service 2025/06/25/133 | toplikevideo.com,https://toplikevideo.com/list.php?part=2025%2F06%2F25%2F133,https://clickergames.top/,clickergames.top,6017,115,true,false,false,false,false,false,true,false,2025-07-26,2025-07-26,false,false
0,Unix Timestamp Converter - Convert to Readable Date,https://www.timestamp-tool.top/,https://clickergames.top/,Clicker Games,3,0,false,false,false,true,false,false,false,false,2025-09-18,2025-10-26,false,false
